date,text,place,latitude,longitude
1770-03-05,"Boston Massacre : Eleven American men are shot (five fatally) by British troops, in an event that helps start the American Revolutionary War five years later.",,,
1770-04-20,"Battle of Aspindza : Georgian king Erekle II defeats the Ottoman forces, despite being abandoned by an ally, Russian General Totleben .",Aspindza,,
1770-06-03,"Gaspar de Portolà and Father Junípero Serra establish Monterey , the presidio of Alta California territory for Spain from 1777 – 1822 , United Mexican States 1824 – 1846 , until the California Republic . The 7.5 M w Port-au-Prince earthquake affects the French colony of Saint-Domingue with a maximum Mercalli intensity of X ( Extreme ), killing 250 or more.",Alta California territory for Spain from 1777,,
1770-07-05,"Battle of Chesma and Battle of Larga : The Russian Empire defeats the Ottoman Empire in both battles. When the news of the defeat reaches the Ottoman city of Smyrna ( July 8 ), the crowd attacks the Greek community of the city (perceived as favourable to the Russian cause) and kills an estimated 200 Greeks and three Western Europeans (although some reports estimate the number of victims at 3,000 or even 5,000 including ""3 or 4 thousands who die due to the fright"").",Chesma and Battle of Larga,,
1770-12-24,"France 's Secretary of the Navy, César Gabriel de Choiseul , is fired from his position by the king.",Navy,,
1771-02-12,"Upon the death of Adolf Frederick , he is succeeded as King of Sweden by his son Gustav III . At the time, however, Gustav is unaware of this, since he is abroad in Paris. The news of his father's death reaches him about a month later.",Paris,,
1771-04-04,"The first quarantines are started in Moscow and Saint Petersburg to fight the bubonic plague epidemic . Over the next 12 months, more than 52,000 people die from the plague in Moscow alone.",Moscow and Saint Petersburg to fight the bubonic plague epidemic,,
1771-05-11,"War of the Regulation: North Carolina Governor William Tryon marches his military out of Hillsborough , to come to the aid of General Hugh Waddell's beleaguered forces. Tryon's army stops at Alamance Creek, 5 miles (8.0 km) away from the Regulator army.",Alamance Creek,,
1771-05-16,"War of the Regulation – Battle of Alamance : Regulators reject an appeal by Governor Tryon to peacefully disperse. Governor Tryon's forces crush the rebellion, causing many Regulators to move to frontier areas outside of North Carolina.",Regulation,,
1771-05-23,"Battle of Lanckorona : A force of 4,000 Russians under Alexander Suvorov defeat a Polish formation of 1,300 men.",Lanckorona,,
1771-07-13,"Russo-Turkish War (1768–74) : Russian forces occupy the Crimea , under Prince Vasily Dolgorukov.",,,
1771-07-17,"Bloody Falls massacre : Chipewyan chief Matonabbee , traveling as the guide to Samuel Hearne on his Arctic overland journey, massacres a group of unsuspecting Inuit .",,,
1771-09-15,"17 – The Moscow plague riot results from an outbreak of bubonic plague , which kills 57,000.",,,
1771-11-03,Siamese conquest of Ha Tien ends the Siamese civil war of 1767-71 .,Ha Tien ends the Siamese civil war of 1767-71,,
1771-11-16,"During the night the River Tyne , England, floods, destroying many bridges and killing several people; the replacement main bridge at Newcastle upon Tyne will not be completed until 1781 .",Newcastle upon Tyne will not be completed until 1781,,
1772-04-13,"Warren Hastings begins his service for the British East India Company as Governor of Bengal , arriving at the company's headquarters at Fort William , outside of Calcutta , and including what are now parts of northeast India and Bangladesh . Hastings serves for two years, then later becomes Governor-General of India.",Bengal,,
1772-06-23,"28 – Russo-Turkish War (1768–1774) : First of two Russian occupations of Beirut , following a naval bombardment which began on June 18.",,,
1772-08-12,"The volcano Mount Papandayan in West Java erupts and partially collapses, the debris avalanche killing several thousand.",West Java erupts and partially collapses,,
1772-11-02,American Revolutionary War : Samuel Adams and Joseph Warren form the first Committee of Correspondence .,Correspondence,,
1773-02-08,"The Grand Council of Poland meets in Warsaw, summoned by a circular letter from King Stanisław August Poniatowski to respond to the Kingdom's threatened partition between three foreign powers.",Warsaw,,
1773-06-04,1773 Phipps expedition towards the North Pole sets out from Britain.,,,
1773-11-10,"Four ships – the Dartmouth , the Eleanor , the Beaver and the William – depart Britain for America, carrying the first Indian tea to be subject to the newly enacted taxes. The William is lost in a storm; the Dartmouth is the first ship to reach Boston , docking on November 28 .",,,
1774-02-03,"The Privy Council of Great Britain , as advisors to King George III, votes for the King's abolition of free land grants of North American lands. Henceforward, land is to be sold at auction to the highest bidder.",Great Britain,,
1774-02-07,"The volunteer fire company of Trenton, New Jersey , predecessor to the paid Trenton Fire Department created in 1892, is founded. In 1905, at 131 years, it claims to be the oldest continuously serving department in the U.S.",U,,
1774-04-19,"The premiere of Iphigénie en Aulide by Christoph Willibald Gluck sparks a huge controversy, almost a war, such as has not been seen in Paris since the Querelle des Bouffons .",Paris since the Querelle des Bouffons,,
1774-07-21,"Russia and the Ottoman Empire sign the Treaty of Küçük Kaynarca with Russian victory, ending six years of war . The treaty gives Russia the right to intervene in Ottoman politics, to protect its Christian subjects.",Ottoman politics,,
1774-09-01,"Powder Alarm : Thomas Gage , royal governor of the Province of Massachusetts Bay , orders British soldiers to remove gunpowder from a magazine , causing Patriots to prepare for war.",Province of Massachusetts Bay,,
1774-12-09,"The two month long Siege of Melilla begins as armies led by the Sultan of Morocco, Mohammed ben Abdallah , attack the North African Spanish colony of Melilla (which remains a part of Spain into the 21st century).",Melilla begins as armies led by the Sultan of Morocco,,
1775-03-06,"Raghunathrao , Peshwa of the Maratha Empire in India, signs the Treaty of Surat with the British Governor-General Warren Hastings in Bombay ceding the territories of Salsette and Bassein to the British East India Company along with part of the revenues from Surat and Bharuch districts in return for military assistance. This leads to the First Anglo-Maratha War fought between the British and the Marathas, ending with the Treaty of Salbai in 1782 .",India,,
1775-04-18,"American Revolution: Paul Revere and William Dawes , instructed by Dr. Joseph Warren , ride from Boston to Lexington to warn John Hancock and Sam Adams that British forces are coming to take them prisoner and to seize colonial weapons and ammunition in Concord.",Concord,,
1775-04-19,"American Revolution – Battles of Lexington and Concord : Hostility between Britain and its American colonies explodes into bloodshed, igniting the American Revolutionary War .",Lexington and Concord,,
1775-06-17,"American Revolution: Two months into the colonial siege of Boston , British open fire on Breed's Hill on Charles Town Peninsula. After 3 charges, the British take the hill in the Battle of Bunker Hill .",Battle of Bunker Hill,,
1775-08-21,American Revolution – Siege of Fort St. Jean : American rebels launch an invasion of Canada .,Fort St,,
1775-08-29,"September 12 – The Independence Hurricane from South Carolina to Nova Scotia kills 4,170, mostly fishermen and sailors.",,,
1775-09-25,"American Revolution: Siege of Fort St. Jean – Battle of Longue-Pointe : Thirteen Colonies revolutionary forces under Maj. Ethan Allen attack Montreal in Quebec, commanded by British General Guy Carleton . Allen's forces are defeated, and Allen himself is captured and held on British ships until he is released.",Quebec,,
1775-11-10,"American Revolution: The Continental Congress passes a resolution creating the Continental Marines to serve as landing troops for the recently created Continental Navy (the Marines are disbanded at end of the war in April 1783 but reformed on July 11 , 1798 as the United States Marine Corps ).",April 1783 but reformed on July 11,,
1775-11-13,American Revolution: Battle of Montreal – American forces under Brigadier General Richard Montgomery capture Montreal . British General Guy Carleton escapes to Quebec .,Montreal,,
1775-12-31,American Revolution: Battle of Quebec – British forces repulse an attack by Continental Army generals Richard Montgomery and Benedict Arnold at Quebec ; Montgomery is killed.,Quebec,,
1776-01-01,"American Revolutionary War – Burning of Norfolk : The town of Norfolk, Virginia is destroyed, by the combined actions of the British Royal Navy and occupying Patriot forces.",British Royal Navy and occupying Patriot forces,,
1776-02-17,Edward Gibbon publishes the first volume of The History of the Decline and Fall of the Roman Empire .,History of the Decline and Fall of the Roman Empire,,
1776-02-27,"American Revolution – Battle of Moore's Creek Bridge : Scottish North Carolina Loyalists charge across Moore's Creek Bridge near Wilmington , to attack what they mistakenly believe to be a small force of rebels. Several leaders are killed in the ensuing battle. The patriot victory virtually ends all British authority in the province.",Wilmington,,
1776-03-02,"3 – American Revolutionary War : Battle of Nassau : The American Continental Navy and Marines make a successful assault on Nassau, Bahamas . Battle of the Rice Boats : American Patriots resist the Royal Navy on the Savannah River ; British control over the Province of Georgia is lost.",Rice Boats,,
1776-03-04,"American Revolutionary War – American Patriots capture Dorchester Heights , dominating the port of Boston .",Boston,,
1776-03-17,"American Revolutionary War – Threatened by Patriot cannons on Dorchester Heights , the British evacuate Boston , ending the 11‑month Siege of Boston .",Boston,,
1776-03-25,"American Revolutionary War – American Patriots conduct a Raid on Tybee Island , primarily seeking to capture runaway slaves who sought refuge with British forces stationed there.",,,
1776-05-15,"26 – American Revolution – Battle of the Cedars : British forces skirmish with the American Continental Army around Les Cèdres, Quebec .",Cedars,,
1776-06-06,"A fire destroys major parts of the town of Askersund , Sweden .",,,
1776-06-08,"American Revolution – Battle of Trois-Rivières : The invading American Continental Army is driven back at Trois-Rivières, Quebec .",,,
1776-06-15,American Revolution – Delaware Separation Day: The Delaware General Assembly votes to suspend government under the British Crown.,,,
1776-06-28,American Revolutionary War – Battle of Sullivan's Island : South Carolina militia repel a British attack on Charleston .,Sullivan's Island,,
1776-06-29,American Revolutionary War – Battle of Turtle Gut Inlet : The American Continental Navy successfully challenges the British Royal Navy blockade off New Jersey .,New Jersey,,
1776-08-27,"American Revolution – Battle of Long Island : Washington 's troops are defeated in Brooklyn by the British, under William Howe .",Brooklyn by the British,,
1776-09-01,"Cherokee–American wars : The invasion of the Cherokee Nation by 6,000 patriot troops from Virginia, North Carolina, and South Carolina begins. The troops destroy 36 Cherokee towns.",Cherokee Nation by 6,,
1776-09-06,"A hurricane hits Guadeloupe , killing more than 6,000 people.",,,
1776-09-07,"American Revolutionary War – World's first submarine attack: The American submersible craft Turtle attempts to attach a time bomb to the hull of British Admiral Richard Howe 's flagship HMS Eagle , in New York Harbor .",New York Harbor,,
1776-09-11,"American Revolutionary War – An abortive peace conference takes place between the British and Americans, on Staten Island .",,,
1776-09-15,American Revolutionary War – Landing at Kip's Bay : British troops land on Manhattan at Kips Bay .,Kip's Bay,,
1776-09-16,American Revolutionary War – Battle of Harlem Heights : The Continental Army under Washington is victorious against the British on Manhattan.,Harlem Heights,,
1776-09-20,"The Great Fire of New York of 1776 starts during the night, ending the following morning.",New York of 1776 starts during the night,,
1776-09-22,"American Revolutionary War – Nathan Hale is executed by the British in New York City, for espionage.",New York City,,
1776-10-11,"American Revolutionary War – Battle of Valcour Island : On Lake Champlain near Valcour Island , a British fleet led by Sir Guy Carleton defeats 15 American gunboats, commanded by Brigadier General Benedict Arnold . Although nearly all of Arnold's ships are destroyed, the two-day-long battle will give Patriot forces enough time to prepare the defenses of New York City.",Valcour Island,,
1776-10-18,American Revolutionary War – Battle of Pell's Point : Troops of the American Continental Army resist a British and Hessian force in The Bronx .,Bronx,,
1776-10-28,"American Revolutionary War – Battle of White Plains : British forces arrive at White Plains, attack and capture Chatterton Hill from the Americans.",White Plains,,
1776-10-31,"In his first speech before British Parliament since the Declaration of Independence that summer, King George III acknowledges that all is not going well for Britain, in the war with the United States.",Independence that summer,,
1776-11-20,"American Revolutionary War – Battle of Fort Lee : The invasion of New Jersey , by British and Hessian forces, leads to the subsequent general retreat of the American Continental Army.",American Continental Army,,
1776-12-07,American Revolutionary War – The Marquis de Lafayette attempts to enter the American military as a major general.,,,
1776-12-25,"American Revolution – At 6 p.m. Gen. George Washington and his troops, numbering 2,400, march to McConkey's Ferry , cross the Delaware River , and land on the New Jersey bank by 3 a.m. the following morning.",,,
1776-12-26,"American Revolutionary War – Battle of Trenton : Washington's troops surprise the 1,500 Hessian troops under the command of Col. Johann Rall at 8 a.m. outside Trenton and score a victory, taking 948 prisoners while suffering only five wounded.",Trenton,,
1777-01-02,"American Revolutionary War – Battle of the Assunpink Creek : American general George Washington 's army repulses a British attack by Lieutenant General Charles Cornwallis , in a second battle at Trenton, New Jersey .",Trenton,,
1777-01-03,American Revolutionary War – Battle of Princeton : American general George Washington's army defeats British troops.,Princeton,,
1777-04-13,"American Revolutionary War – Battle of Bound Brook : A British and Hessian force led by Charles Cornwallis surprises a Continental Army outpost in New Jersey , commanded by Major General Benjamin Lincoln .",New Jersey,,
1777-04-27,"American Revolutionary War – Battle of Ridgefield : The British Army defeats Patriot militias, galvanizing resistance in the Connecticut Colony .",Connecticut Colony,,
1777-07-06,"American Revolutionary War – Siege of Fort Ticonderoga : After a bombardment by British artillery under General John Burgoyne , American forces retreat from Fort Ticonderoga , New York .",Fort Ticonderoga,,
1777-07-07,"American Revolutionary War – Battle of Hubbardton : British forces capture over 200 of the American rearguard, from Fort Ticonderoga.",American rearguard,,
1777-08-06,American Revolutionary War – Battle of Oriskany : Loyalists gain a tactical victory over Patriots ; Iroquois fight on both sides.,Oriskany,,
1777-08-16,"American Revolutionary War – Battle of Bennington : British and Brunswicker forces are decisively defeated by American troops at Walloomsac, New York .",Walloomsac,,
1777-08-22,"American Revolutionary War – The Siege of Fort Stanwix is ended by withdrawal of British forces, following a ruse by Benedict Arnold to persuade them that a much larger force is arriving.",Fort Stanwix is ended by withdrawal of British forces,,
1777-09-03,"American Revolutionary War – Battle of Cooch's Bridge : British and Hessian forces defeat an American militia in a minor skirmish in New Castle County, Delaware .",Cooch's Bridge,,
1777-09-11,"American Revolutionary War – Battle of Brandywine : The British gain a major victory in Chester County , Pennsylvania .",Chester County,,
1777-09-19,"American Revolutionary War – First Battle of Saratoga ( Battle of Freeman's Farm ): Patriot forces withstand a British attack at Saratoga, New York.",Saratoga,,
1777-09-26,"American Revolutionary War – British troops occupy Philadelphia ; members of the Continental Congress flee to Lancaster, Pennsylvania , where they meet and hold a one day session as the Fifth Congress before fleeing again.",Continental Congress flee to Lancaster,,
1777-09-30,"American Revolutionary War – The Sixth Continental Congress opens its session at York, Pennsylvania , and continues for 272 days until June 27, 1778.",York,,
1777-10-04,American Revolutionary War – Battle of Germantown : Troops under George Washington are repelled by British troops under Sir William Howe .,Germantown,,
1777-10-06,"American Revolutionary War – Battle of Forts Clinton and Montgomery : British troops capture Fort Clinton and Fort Montgomery (Hudson River) , and are able to dismantle the Hudson River Chain .",Forts Clinton and Montgomery,,
1777-10-07,American Revolutionary War – Second Battle of Saratoga ( Battle of Bemis Heights ): British General John Burgoyne is defeated by American troops.,Saratoga,,
1777-10-17,American Revolutionary War – Battle of Saratoga : British General John Burgoyne surrenders to the American troops.,Saratoga,,
1777-12-19,"American Revolutionary War – George Washington 's Continental Army goes into winter quarters at Valley Forge, Pennsylvania .",Valley Forge,,
1778-02-06,"American Revolutionary War : In Paris, the Treaty of Alliance and the Treaty of Amity and Commerce are signed by the United States and France, signaling official French recognition of the new republic.",Paris,,
1778-02-23,"American Revolutionary War : Friedrich Wilhelm von Steuben arrives at Valley Forge , Pennsylvania and begins to train the American troops.",Valley Forge,,
1778-03-10,"American Revolutionary War : George Washington approves the dishonorable discharge of Lieutenant Frederick Gotthold Enslin , for ""attempting to commit sodomy, with John Monhort a soldier"".",Lieutenant Frederick Gotthold Enslin,,
1778-04-30,"The 1,800 feet (550 m) long Hudson River Chain , designed to prevent British ships from moving up the river toward West Point, New York is stretched across the river and anchored by an engineering team under the direction of Captain Thomas Machin.",Captain Thomas Machin,,
1778-06-28,"American Revolutionary War : Battle of Monmouth – George Washington 's Continental Army battles British general Sir Henry Clinton 's army to a draw, near Monmouth County, New Jersey .",Monmouth County,,
1778-07-03,"American Revolutionary War : The Battle of Wyoming takes place near Wilkes-Barre, Pennsylvania , ending in a terrible defeat for the local colonists.",Wilkes-Barre,,
1778-07-04,American Revolutionary War : George Rogers Clark takes Kaskaskia .,,,
1778-07-10,Louis XVI of France declares war on the Kingdom of Great Britain .,France declares war on the Kingdom of Great Britain,,
1778-07-27,American Revolutionary War : First Battle of Ushant – British and French fleets fight to a standoff.,Ushant,,
1778-08-29,"American Revolutionary War : The tactically inconclusive Battle of Rhode Island takes place, after which the Continental Army abandons its position on Aquidneck Island .",Rhode Island takes place,,
1778-09-07,"American Revolutionary War : Invasion of Dominica – The French capture the British fort there, before the latter is aware that France has entered the war in the Franco-American alliance .",Franco-American alliance,,
1778-09-17,"The Treaty of Fort Pitt is signed, the first formal treaty between the United States and a Native American tribe (the Lenape or Delaware).",Fort Pitt is signed,,
1778-11-11,"American Revolutionary War : Cherry Valley massacre – British forces and their Iroquois allies attack a fort and the village of Cherry Valley, New York, killing 14 soldiers and 30 civilians.",Cherry Valley,,
1778-12-29,"American Revolutionary War : Capture of Savannah – British forces under Archibald Campbell take the city of Savannah, Georgia .",Savannah,,
1779-01-22,"American Revolutionary War – Claudius Smith is hanged at Goshen , Orange County, New York for supposed acts of terrorism upon the people of the surrounding communities.",Goshen,,
1779-01-29,"After a second petition for partition from its residents, the North Carolina General Assembly abolishes Bute County , North Carolina (established 1764 ) by dividing it and naming the northern portion Warren County (for Revolutionary War hero Joseph Warren ), the southern portion Franklin County (for Benjamin Franklin ). The General Assembly also establishes Warrenton (also named for Joseph Warren) to be the seat of Warren County, and Louisburg (named for Louis XVI of France ) to be the seat of Franklin County.",Warren County,,
1779-05-13,"War of the Bavarian Succession – Russian and French mediators at the Congress of Teschen negotiate an end to the war. In the agreement Austria receives a part of the Bavarian territory (the Innviertel ), and relinquishes the rest.",Congress of Teschen negotiate an end to the war,,
1779-06-01,"American Revolutionary War – Benedict Arnold is court-martialed for malfeasance , in his treatment of government property.",,,
1779-06-16,"American Revolutionary War – In support of France, Spain declares war on Britain.",France,,
1779-06-21,King Charles III of Spain issues a declaration of war against Great Britain.,Spain issues a declaration of war against Great Britain,,
1779-07-16,"The Great Siege of Gibraltar begins. This is an action by French and Spanish forces to wrest control of Gibraltar from the established British garrison. The garrison, led by George Augustus Eliott (later 1st Baron Heathfield of Gibraltar), survives all attacks and a blockade of supplies.",Gibraltar begins,,
1779-07-22,Battle of Minisink : The Goshen Militia is destroyed by Joseph Brant 's forces.,Minisink,,
1779-07-24,"American Revolutionary War – American forces, led by Commodore Dudley Saltonstall , launch the Penobscot Expedition in what is now Castine , Maine, resulting in the worst naval defeat in U.S. history, until surpassed by the attack on Pearl Harbor in 1941.",,,
1779-08-17,Action of 17 August 1779 : The 64-gun British warship HMS Ardent is captured by France in the English Channel off of Plymouth after an ineffective attempt by the British captain to properly aim its cannons at the French frigare Junon,English Channel off of Plymouth after an ineffective attempt by the British captain to properly aim its cannons at the French frigare Junon,,
1779-09-14,"15 – American Revolutionary War – Little Beard's Town , a loyalist stronghold, is burnt by the Sullivan Expedition .",,,
1779-09-21,Battle of Baton Rouge – Spanish troops under Bernardo de Gálvez capture the city from the British.,Baton Rouge,,
1779-09-23,"American Revolutionary War – Battle of Flamborough Head – The American ship Bonhomme Richard , commanded by John Paul Jones , engages the British ship HMS Serapis . The Bonhomme Richard sinks, but the Americans board the Serapis and other vessels, and are victorious.",Flamborough Head,,
1780-01-16,American Revolutionary War – Battle of Cape St. Vincent : British Admiral Sir George Rodney defeats a Spanish fleet.,Cape St,,
1780-02-19,The legislature of New York votes to allow its delegates to cede a portion of its western territory to the Continental Congress for the common benefit of the war.,New York votes to allow its delegates to cede a portion of its western territory to the Continental Congress for the common benefit of the war,,
1780-03-17,American Revolutionary War : The British San Juan Expedition sails from Jamaica under the command of Captains John Polson and Horatio Nelson to attack the Captaincy General of Guatemala (modern-day Nicaragua) in New Spain .,New Spain,,
1780-04-29,American Revolutionary War : The Spanish commander of the Fortress of the Immaculate Conception on the San Juan River in modern-day Nicaragua surrenders it to the British San Juan Expedition .,Fortress of the Immaculate Conception on the San Juan River in modern-day Nicaragua surrenders it to the British San Juan Expedition,,
1780-05-12,"American Revolutionary War : Charleston, South Carolina is taken by British forces after 44 days of siege .",,,
1780-05-29,American Revolutionary War – Waxhaw Massacre : Loyalist forces under Colonel Banastre Tarleton kill surrendering American soldiers.,,,
1780-06-23,American Revolutionary War – Battle of Springfield : The Continental Army defeats the British in New Jersey .,New Jersey,,
1780-07-11,"French soldiers arrive in Newport, Rhode Island to reinforce the colonists, in the American Revolutionary War .",American Revolutionary War,,
1780-08-09,"American Revolutionary War : Spanish admiral Luis de Córdova y Córdova captures a British convoy totalling 55 vessels amongst Indiamen , frigates and other cargo ships off Cape St. Vincent .",Cape St,,
1780-08-16,"American Revolutionary War – Battle of Camden : British troops inflict heavy losses on a Patriot army at Camden, South Carolina .",Camden,,
1780-10-02,"American Revolutionary War : In Tappan, New York, British spy John André is hanged by American forces.",Tappan,,
1780-10-07,"American Revolutionary War : Battle of Kings Mountain : Patriot militia forces annihilate Loyalists under British Major Patrick Ferguson , at Kings Mountain, South Carolina.",Kings Mountain,,
1780-10-10,"16 – The Great Hurricane flattens the islands of Barbados , Martinique and Sint Eustatius ; 22,000 are killed.",Barbados,,
1780-11-28,"A lightning strike in Saint Petersburg begins a fire that burns 11,000 homes.",Saint Petersburg begins a fire that burns 11,,
1780-11-30,American Revolutionary War : The British San Juan Expedition is forced to withdraw.,,,
1780-12-20,The Fourth Anglo-Dutch War begins.,,,
1781-01-05,"American Revolutionary War : Richmond, Virginia is burned by British naval forces, led by Benedict Arnold .",,,
1781-01-06,Battle of Jersey : British troops prevent the French from occupying Jersey in the Channel Islands .,Channel Islands,,
1781-01-17,"American Revolutionary War – Battle of Cowpens : The American Continental Army , under Daniel Morgan , decisively defeats British forces in South Carolina .",South Carolina,,
1781-02-03,"Fourth Anglo-Dutch War – Capture of Sint Eustatius : British forces take the Dutch Caribbean island of Sint Eustatius , with only a few shots fired. On November 26 it is retaken by Dutch-allied French forces.",Sint Eustatius,,
1781-03-15,American Revolutionary War – Battle of Guilford Court House : American General Nathanael Greene loses to the British.,Guilford Court House,,
1781-03-16,Wolfgang Amadeus Mozart arrives in Vienna after being fired by the Archbishop of Salzburg . He would stay there for the rest of his brief life.,Vienna after being fired by the Archbishop of Salzburg,,
1781-04-04,"American Revolutionary War: The Spanish capture the sloop-of-war HMS St Fermin off Málaga , Spain.",,,
1781-04-25,"American Revolutionary War: The Battle of Hobkirk's Hill takes place in Camden, South Carolina",Camden,,
1781-09-05,"American Revolution – Battle of the Chesapeake : A British fleet under Thomas Graves arrives and fights de Grasse, but is unable to break through to relieve the Siege of Yorktown .",Chesapeake,,
1781-09-06,"American Revolution – Battle of Groton Heights : A British force under Benedict Arnold attacks a fort in Groton, Connecticut , achieving a strategic victory.",Groton,,
1781-09-08,"American Revolution – Battle of Eutaw Springs , South Carolina: The war's last significant battle, in the Southern theatre, ends in a narrow British tactical victory.",Southern theatre,,
1781-09-28,"American Revolution : American and French troops begin a siege of the British at Yorktown, Virginia.",Yorktown,,
1781-10-19,"American Revolution : Following the Siege of Yorktown , General Charles Cornwallis surrenders to General George Washington at Yorktown, Virginia , ending the armed struggle of the American Revolution.",Yorktown,,
1781-12-12,"American Revolutionary War – Second Battle of Ushant : The British Royal Navy , commanded by Rear Admiral Richard Kempenfelt in HMS Victory , decisively defeats the French fleet in the Bay of Biscay .",Bay of Biscay,,
1782-02-18,"Fourth Anglo-Dutch War : Shirley's Gold Coast expedition lands at Elmina on the Dutch Gold Coast . The British expedition fails to take the fort here but over the next several weeks seizes, with minimal resistance, four small Dutch forts.",Elmina on the Dutch Gold Coast,,
1782-02-27,"The British House of Commons votes against further war in America , paving the way for the Second Rockingham ministry and the Peace of Paris .",America,,
1782-03-08,"Gnadenhutten massacre : In Ohio , 29 Native American men, 27 women, and 34 children are killed by colonial militiamen in retaliation for raids carried out by another Native American group.",Ohio,,
1782-03-14,Battle of Wuchale : Emperor Tekle Giyorgis pacifies a group of Oromo near Wuchale .,Wuchale,,
1782-04-12,"Battle of the Saintes : A British fleet under Admiral Sir George Rodney defeats a French fleet under the Comte de Grasse , in the West Indies .",West Indies,,
1782-08-19,A combined British and Native American force defeat Kentucky militiamen in the Battle of Blue Licks in the last major battle of the American Revolutionary War .,Battle of Blue Licks in the last major battle of the American Revolutionary War,,
1782-11-30,"American Revolutionary War : In Paris, representatives from the United States and the Kingdom of Great Britain sign preliminary peace articles (later formalized in the Treaty of Paris ).",Treaty of Paris,,
1782-12-12,"American Revolutionary War : Action of 12 December 1782 : A naval engagement off Ferrol, Spain , in which the British ship HMS Mediator commanded by James Luttrell successfully attacks a convoy of French and American ships attempting to supply the United States.",Ferrol,,
1783-02-03,"American Revolutionary War : Great Britain acknowledges the independence of the United States of America. At this time, the Spanish government does not grant diplomatic recognition.",United States of America,,
1783-02-04,American Revolutionary War : Great Britain formally declares that it will cease hostilities with the United States.,,,
1783-02-05,"1783 Calabrian earthquakes : The first of a sequence of five earthquakes strikes Calabria , Italy (February 5–7, March 1 & 28), leaving 50,000 dead.",,,
1783-02-07,The Great Siege of Gibraltar is abandoned.,Gibraltar is abandoned,,
1783-03-05,"The last celebration of Massacre Day is held in Boston , Massachusetts.",Boston,,
1783-04-09,"28 – Second Anglo-Mysore War : Siege of Bednore – Tipu Sultan of Mysore with 100,000 troops besieges 1600 British East India Company troops who are obliged to surrender with honours of war .",Bednore,,
1783-04-15,Preliminary articles of peace ending the American Revolutionary War are ratified by the Congress of the Confederation in the United States.,United States,,
1783-06-08,"The volcano Laki in Iceland begins an 8-month eruption, starting the chain of natural disasters known as the Móðuharðindin , killing tens of thousands throughout Europe, including up to 33% of Iceland's population, and causing widespread famine. It has been described as one of ""the greatest environmental catastrophes in European history "".",Iceland begins an 8-month eruption,,
1783-08-04,"Mount Asama , the most active volcano in Japan , begins a climactic eruption, killing roughly 1,400 people directly and exacerbating a famine, resulting in another 20,000 deaths ( Tenmei eruption ).",Japan,,
1783-09-03,"Peace of Paris : A treaty between the United States and Great Britain is signed in Paris, formally ending the American Revolutionary War , in which Britain recognizes the independence of the United States; and treaties are signed between Britain, France, and Spain at Versailles , ending hostilities with the Franco-Spanish Alliance.",Paris,,
1783-11-25,"American Revolutionary War : The last British troops leave New York City and George Washington triumphantly returns, three months after the signing of the Treaty of Paris .",Treaty of Paris,,
1783-11-29,1783 New Jersey earthquake : An earthquake of 5.3 magnitude strikes New Jersey .,,,
1783-12-31,"Louis-Sébastien Lenormand makes the first ever recorded public demonstration of a parachute descent, by jumping from the tower of the Montpellier Observatory in France, using his rigid-framed model, which he intends as a form of fire escape.",France,,
1784-05-20,"A treaty is signed in Paris between the Kingdom of Great Britain and the Dutch Republic , formally ending the Fourth Anglo-Dutch War .",Paris between the Kingdom of Great Britain and the Dutch Republic,,
1784-10-08,""" Kettle War "", a 1-day action on the Scheldt in which a ship of the Dutch Republic repels forces of the Holy Roman Empire .",Dutch Republic repels forces of the Holy Roman Empire,,
1785-01-20,"Battle of Rạch Gầm-Xoài Mút : Invading Siamese forces, attempting to exploit the political chaos in Vietnam , are ambushed and annihilated at the Mekong River, by the Tây Sơn .",Vietnam,,
1785-02-09,"Sir Warren Hastings , who has been governing India on behalf of King George III as the Governor-General of the Presidency of Fort William (later British India ), resigns. Sir John Macpherson administers British India until General Charles Cornwallis arrives 19 months later.",Presidency of Fort William,,
1785-05-10,"A hot air balloon crashes in Tullamore , Ireland, causing a fire that burns down about 100 houses, making it the world's first aviation disaster (by 36 days).",Tullamore,,
1785-06-15,"After several attempts, Jean-François Pilâtre de Rozier and his companion, Pierre Romain, set off in a balloon from Boulogne-sur-Mer , but the balloon suddenly deflates (without the envelope catching fire) and crashes near Wimereux in the Pas-de-Calais, killing both men, making it the first fatal aviation disaster.",Wimereux in the Pas-de-Calais,,
1786-01-06,"The outward bound East Indiaman Halsewell is wrecked on the south coast of England in a storm, with only 74 of more than 240 on board surviving.",England in a storm,,
1786-04-02,The Creek Nation declares war on the U.S. State of Georgia over the matter of white settlers on land not ceded by the Nation. A truce is negotiated on April 17 between Creek Chief Alexander McGillivray (Hoboi-Hili-Miko) and U.S. Army General Lachlan McIntosh but is soon repudiated.,Georgia over the matter of white settlers on land not ceded by the Nation,,
1786-06-10,"An earthquake -caused landslide dam on the Dadu River gives way, killing 100,000 in the Sichuan province of China.",Sichuan province of China,,
1786-09-02,A hurricane strikes Barbados .,,,
1786-09-11,"14 – The Annapolis Convention is held by delegates from six of the 13 states (Maryland, Virginia, Pennsylvania, Delaware, New Jersey and New York) resulting in the scheduling of the Philadelphia Convention to draft a national constitution.",,,
1786-10-24,"General David Cobb of the Massachusetts militia defeats a body of rebel insurgents at Taunton, Massachusetts in one of the battles of Shays' Rebellion .",Taunton,,
