date,event
1525-12-31,"Mixco Viejo, capital of the Pocomans Maya State, falls to the Spanish conquistadores of Pedro de Alvarado (in modern-day Guatemala) after a three-month siege."
1525-12-31,"The first French ambassador to reach the Sublime Porte, Jean Frangipani, sets out for Constantinople."
1525-12-31,"The deadline for Spanish Muslims to convert to Christianity in the Valencia is reached, after which remaining Muslims, or those who harbor them as fugitives, becomes punishable by forced exile, imprisonment or death."
1525-12-31,Printing of the first edition of William Tyndale 's New Testament Bible translation into English in Cologne is interrupted by anti-Lutheran forces and Tyndale flees to Worms (finished copies reach England in 1526).
1526-01-14,"Treaty of Madrid: Peace is declared between Francis I of France and Charles V, Holy Roman Emperor. Francis agrees to cede Burgundy and abandons all claims to Flanders, Artois, Naples, and Milan."
1526-01-26,"The deadline for Spanish Muslims to convert to Christianity or leave is reached in the Crown of Aragon and the Principality of Catalonia as decreed by the edict of November 25 by Charles V, Holy Roman Emperor acting in his capacity as King of Spain. The deadline for the Kingdom of Valencia had passed on December 31, 1525."
1526-02-06,"Suleiman the Magnificent, Sultan of the Ottoman Empire, agrees to form a military alliance with France, after King François I sends a proposal by way of his envoy, Jean Frangipani."
1526-02-09,"In Guatemala, a group of 16 deserters from the Spanish colonial army destroy Iximche, the capital of the indigenous kingdom of the Mayan Kaqchikel people, and burn the palace of the Ahpo Xahil"
1526-02-15,"Spanish author Gonzalo Fernández de Oviedo y Valdés, commonly called ""Oviedo"", publishes th chronicle La Natural Hystoria De Las Indias (The Natural History of the Indies)"
1526-02-21,Lopo Vaz de Sampaio becomes the new Governor of Portuguese India following the February 2 death of the 30-year-old Governor Henrique de Meneses from gangrene resulting from a battle injury to his leg.
1526-02-25,"The Battle of Hisar Firoza is fought in what is now the Indian state of Haryana, between the Mughal Empire (whose army is led by Prince Humayun) and the Delhi Sultanate, led by Hamid Khan. Humayun, in his first command, leads the Mughals to victory."
1526-02-27,The League of Torgau is formed as an alliance of German princes to oppose the 1521 Edict of Worms.
1526-03-06,"After a defeat in battle of Afghan soldiers of the Delhi Sultanate by the Mughal Empire, the Mughal Emperor Babur and Crown Prince Humayun arrange the execution of 100 captured Afghan prisoners by "" blowing from a gun, the process of placing a tying a condemned prisoner to the mouth of a cannon and then firing."
1526-03-06,King François I of France is released from captivity in Spain after having signed the Treaty of Madrid.
1526-03-07,"In Switzerland, the Canton of Zurich enacts a law directed against the Anabaptist movement, specifically outlawing a second baptism of an adult who was previously baptized as an infant, and makes the crime punishable by drowning. The penalty is enforced for the first time on January 5, 1527, when Felix Manz is executed."
1526-03-10,"Charles V, Holy Roman Emperor and King of Spain, marries Princess Isabella of Portugal at the Alcázar of Seville palace in Spain."
1526-03-17,"King François I crosses from the Bidasoa River from Spain into France, while at the same time, his sons the Dauphin Prince François and Prince Henri, 8 and 5 at the time, cross into Spain to take his place as hostages to guarantee France's compliance with the Madrid Treaty. King François repudiates the treaty and the two boys remain captive for the next three years."
1526-03-17,"The first complete printed translation of the New Testament of the Bible into the English language by William Tyndale arrives in England from Germany, where printing had been completed in Worms by Peter Schöffer the younger, towards the end of February."
1526-04-21,"Battle of Panipat: Babur becomes Mughal emperor, invades northern India and captures Delhi, creating the Mughal Empire, which lasts until 1857."
1526-05-22,"Francis repudiates the Treaty of Madrid and forms the League of Cognac against Charles, including Pope Clement VII, Milan, Venice, and Florence."
1526-05-23,"A transit of Venus occurs, the last before optical filters allow astronomers to observe them."
1526-06-09,Emperor Go-Nara ascends to the throne of Japan.
1526-07-24,Milan is captured by the Spanish.
1526-07-25,"The Spanish ship Santiago, from García Jofre de Loaísa 's expedition, reaches the Pacific Coast of Mexico and drops anchor at the Gulf of Tehuantepec, becoming the first ship to sail from Europe to the west coast of North America."
1526-08-09,"Lucas Vázquez de Ayllón of Spain founded the failed colony, San Miguel de Gualdape in present-day Winyah Bay, Georgetown County, South Carolina. It was the first European settlement, as well as the first documented occurrence of enslavement of African peoples in what would later become the continental United States."
1526-08-15,The first official translation is made of the New Testament into Swedish; the entire Bible is completed in 1541.
1526-08-21,"Spanish explorer Alonso de Salazar becomes the first European to sight the Marshall Islands, in the Pacific Ocean."
1526-08-29,"Battle of Mohács: The Ottoman army of Sultan Suleiman I defeats the Hungarian army of King Louis II, who drowns while retreating with his troops. Two rival groups seek to elect a successor to Louis. Suleiman takes Buda, while Archduke Ferdinand of Austria and John Zápolya, Prince of Transylvania, dispute the succession. As a result of the battle, Dubrovnik achieves independence, although it acknowledges Turkish overlordship."
1526-09-19,"Spanish Muslims who had hidden in the Sierra de Espadán mountain range in Valencia and who are led by Selim Almanzo are overwhelmed by a German contingent of 3,000 soldiers from the Holy Roman Empire. After their defeat, 5,000 adult Muslims (including old men and women) are massacred."
1526-10-23,"In October, Cuthbert Tunstall, the Roman Catholic Bishop of London, issues a proclamation directing followers to destroy all copies of Tyndale's New Testament."
1526-10-24,The Bohemian Diet elects Archduke Ferdinand of the House of Habsburg as the King of Bohemia.
1526-11-10,"In eastern Hungary, at Székesfehérvár, a group of lesser nobles proclaims John Zápolya as proclaimed as the King of Hungary. The assembly proclaims the Eastern Hungarian Kingdom, with a capital at Buda."
1526-12-15,(12th day of 11th month of Daiei 6) The siege of Kamakura takes place in Japan as the Uesugi clan defeats the Hōjō clan
1526-12-17,"At Pozsony in western Hungary (now Bratislava in Slovakia), the Diet elects the Archduke Ferdinand as the King of Hungary."
1526-12-17,"Gunsmith Bartolomeo Beretta (in Italian) establishes the Beretta Gun Company, which will still be in business in the 21st century, making it one of the world's oldest firearm corporations."
1526-12-17,Spanish conquistadors led by Francisco Pizarro and his brothers first reach Inca territory in South America.
1527-01-01,Croatian nobles elect Ferdinand I of Austria as King of Croatia in the Parliament on Cetin.
1527-01-05,"Felix Manz, co-founder of the Swiss Anabaptists, is drowned in the Limmat in Zürich by the Zürich Reformed state church."
1527-02-14,"Queen consort Mary of Hungary, named as regent for the kingdom upon the August 29 death of her husband Louis II, asks permission from the Hungarian Diet to step down as the regent for the newly elected Frederick of Habsburg, but is denied."
1527-02-21,"The Mughal–Rajput wars begin in India between the Emperor Babur of the Mughal Empire and states of the Rajput Confederacy, with the victory of the Rajput faction at the Battle of Bayana."
1527-02-24,Ferdinand of the House of Habsburg is formally crowned as King of Bohemia at Pressburg (now Bratislava in Slovakia).
1527-02-24,The seven articles of the Schleitheim Confession are formally adopted by the Mennonite Anabaptist Christians at Schleitheim in the Canton of Schaffhausen in Switzerland.
1527-03-17,"In India, the Battle of Khanwa is fought as the Mughal Emperor Babur defeats Rajput ruler Rana Sanga. This and two other major Moghul victories lead to their domination of northern India. Dhaulpur fort is taken by Babur."
1527-03-25,"The Confederation of Shan States sacks Ava, the capital of the Ava Kingdom."
1527-04-30,"The Treaty of Westminster (1527), an alliance during the War of the League of Cognac, is signed."
1527-05-06,"Sack of Rome: Spanish and German troops led by the Duke of Bourbon sack Rome, forcing the Medici Pope Clement VII to make peace with Charles V, Holy Roman Emperor, marking the end of the High Renaissance. The Pope grows a beard in mourning."
1527-05-16,"In Florence, the Piagnon, a group devoted to the memory of Girolamo Savonarola, drive out the Medici for a second time, re-establishing the Republic of Florence until 1530."
1527-06-17,The Narváez expedition to conquer Florida sets sail from Spain.
1527-06-17,"The Protestant Reformation begins in Sweden. The Riksdag of the Estates in Västerås adopts Lutheranism as the state religion, in place of Roman Catholicism. This results in the confiscation of church property and dissolution of Catholic convents in accordance with the Reduction of Gustav I of Sweden."
1527-06-22,"Jakarta, modern-day capital of Indonesia, is founded as Jayakarta."
1527-07-05,"General Div Sultan Rumlu, the regent for the 13-year old Tahmasp I, the Safavid Shah of Iran, is assassinated and replaced by Chukha Sultan Tekali."
1527-07-25,"The Battle of Sződfalva is fought near Szeged in what is now Hungary, with an army of Hungarians and Romanian Transylvanians defeating a Serbian army led by Jovan Nenad, the self-proclaimed Emperor of the Serbs. The next day, Nenad is assassinated for his failure in battle."
1527-08-03,"The first known letter is sent from North America by John Rut, while at St. John's, Newfoundland, during his voyage to the New World."
1527-08-20,Sixty Anabaptists meet at the Martyrs' Synod in Augsburg.
1527-08-20,"Diet of Odense (Denmark): King Frederick I declares religious tolerance for Lutherans, permits marriage of priests and forbids seeking papal pallium (approval) for royal appointments of Church officials."
1527-09-27,"Battle of Tarcal: Ferdinand, future Holy Roman Emperor, defeats John Zápolya and takes over most of Hungary. John appeals to the Ottomans for help."
1527-10-05,"French and Venetian troops kill thousands of civilians in the Italian city of Pavia, even after the defenders agree to surrender."
1527-10-31,"Spanish conquistador Álvaro de Saavedra Cerón departs from Zihuatanejo in what is now Mexico on a voyage of exploration of the Pacific Ocean, along with three ships, Saavedra's flagship La Florida, and the vessels Espiritu Santo and Santiago."
1527-11-03,Archduke Ferdinand of Austria is formally crowned as the King of Hungary at the Basilica of the Assumption of the Blessed Virgin Mary at Székesfehérvár.
1527-11-04,"In India, Puranmal becomes the new Raja of the Kingdom of Amber (now in the Indian state of Rajasthan) after his father, the Raja Prithviraj Singh I dies of wounds sustained in March in the Battle of Khanwa."
1527-11-15,"The lands of the Bishopric of Utrecht, now in the Netherlands, are ceded to control of the Habsburgs in return for assistance in suppressing a rebellion by the citizens of Utrecht."
1527-11-22,"Spain's conquest of Guatemala 's highlands is completed as the capital of the colonial government is moved to the new city of Ciudad Vieja from Santiago de los Caballeros de Guatemala, near Iximche."
1527-11-23,"The Érdy Codex, the largest collection of Hungarian legends and Hungarian language literature, is completed on Saint Clement's Day by an unidentified Carthusian monk at the seminary of Nagyszombat in Hungary (now Trnava in Slovakia."
1527-12-06,"Pope Clement VII, held prisoner at the Castel Sant'Angelo since the sack of Rome in May, is released after seven months of captivity, along with 16 Roman Catholic cardinals."
1527-12-15,"Two of the three ships of Álvaro de Saavedra are separated from his own vessel, La Florida, during a storm. The Espiritu Santo and Santiago, sailing ahead of La Florida, are never heard from again."
1527-12-15,The second of the Dalecarlian rebellions breaks out in Sweden.
1527-12-15,Members of the University of Wittenberg flee to Jena in fear of the bubonic plague.
1527-12-15,"In England, Bishop Vesey's Grammar School (at Sutton Coldfield, in the West Midlands) is founded by Bishop John Vesey; and Sir George Monoux College is founded as a grammar school at Walthamstow by Sir George Monoux, draper and Lord Mayor of London."
1527-12-15,"The Ming dynasty government of China greatly reduces the quotas for taking grain, severely diminishing the state's capacity to relieve famines through a previously successful granary system."
1528-01-12,"Gustav I of Sweden is crowned king of Sweden, having already reigned since his election in June 1523."
1528-01-26,"The Canton of Bern becomes the second in Switzerland to officially adopt Protestantism after 21-day debate, the Bern Disputation"
1528-02-29,"John Zápolya, ruler of the remaining eastern portion of Hungary after its the acquisition of the western section by the Habsburg Austrians, joins in an alliance with the Sultan Suleiman the Magnificent of the Ottoman Turks, receiving protection and autonomy in return for allowing Turkish occupation of his Eastern Hungarian Kingdom."
1528-03-20,"The Battle of Szina is fought in the Kingdom of Hungary between the two rival kings, John Zápolya of Eastern Hungary and Archduke Ferdinand of Austria, the Habsburg King of Western Hungary. Zapolya and his 15,000-man army are defeated by mercenaries hired by the Habsburgs."
1528-03-22,"siege of the southern Italian city of Melfi is started by the French Army, under the command of Marshal Odet of Foix, Viscount of Lautrec. After killing the defenders and pulling down the city walls, the French troops plunder what remains and massacre more than 3,000 men, women and children."
1528-04-28,"Battle of Capo d'Orso: The French fleet, under mercenary captain Filippino Doria, crushes the Spanish squadron trying to run the blockade of Naples."
1528-05-09,"King James V of Scotland, 16, held captive for more than two years under the guardianship of the Earl of Angus, is able to escape from Edinburgh to Stirling after several failed rescue attempts."
1528-06-05,"The fourth major outbreak of the sweating sickness is noted for the first time, with a reference in a letter to Bishop Tunstall of London from someone who has fled his home because a servant at his house has become infected with the disease, with sweating soon followed by death."
1528-06-17,"The Italian city of Rimini and its surrounding area, ruled by the House of Malatesta, is conquered by troops of the Papal States and subsequently annexed."
1528-07-03,"Pope Clement VII issues the bull Religionis zelus, recognizing the Order of Friars Minor Capuchin (Ordo Fratrum Minorum Capuccinorum), commonly known as the Capuchin monks, as a reformist branch of the Franciscans order of Roman Catholicism."
1528-07-08,"After surviving a mutiny of his crew and the death of 18 of his men in an ambush in what is now Argentina, Italian Venetian explorer Sebastian Cabot dispatches his flagship, Trinidad, back to Spain with reports and evidence against the mutineers, and a request for further military aid."
1528-08-04,"The ""Peace of St. Ambrose"" is signed in Milan at the Basilica of Sant'Ambrogio, bringing an end to the civil strife between the Milanese nobility and the local merchants."
1528-08-26,"Askia Muhammad I, ruler of the Songhai Empire in West Africa since 1493, is forced to abdicate by his son, Askia Musa, who declares himself to be the new Songhai Emperor."
1528-08-29,"The Siege of Naples, at the time a part of the Holy Roman Empire, fails four months after it was launched by troops from France, led by Odet de Foix, who had died of illness on August 15. The Imperial, Spanish and Genoese armies pursue their French attackers, who were attempting to retreat to the nearby city of Aversa, and eliminate the survivors."
1528-09-03,"The Kyōroku era begins in Japan, with the last day of the Daiei era ending on Daiei 8, 20th day of the 8th month."
1528-09-12,"Italian Admiral Andrea Doria defeats his former allies, the French, and establishes the independence of Genoa."
1528-09-19,"War of the League of Cognac: The Italian city of Pavia is besieged for the fifth and last time during the decade, after having been attacked in 1522, 1524, 1527, and in May of 1528. Troops from a coalition of the Venetian Republic, the Kingdom of France and the Duchy of Milan break through the city walls after six days of bombardment, kill 700 of the defenders, and recover the city for Francesco II Sforza, Duke of Milan."
1528-10-03,Álvaro de Saavedra Cerón arrives in the Maluku Islands.
1528-10-13,"Cardinal Thomas Wolsey founds a college in his birthplace of Ipswich, England, which becomes the modern-day Ipswich School (incorporating institutions in the town dating back to 1299)."
1528-10-20,"The Treaty of Gorinchem is signed between Charles V, Holy Roman Emperor, and Charles, Duke of Guelders."
1528-11-06,"Spanish conquistador Álvar Núñez Cabeza de Vaca and his companions become the first known Europeans to set foot on the shores of what is present-day Texas, when they and 80 survivors are wrecked on Galveston Island following a storm. Only 15 live beyond winter, and they are eventually enslaved by various Indian tribes. Eventually, only four of the 81 Spanish survivors— Cabeza de Vaca, Andrés Dorantes de Carranza, Alonso del Castillo Maldonado, and an African slave of Dorantes, Estevanico — are able to escape and return home."
1528-12-09,"Spanish Conquistador Francisco de Montejo attempts an invasion of the Yucatán, but is driven out by the Maya peoples."
1528-12-09,Spain takes direct control of Acapulco.
1528-12-09,St George's Chapel in Windsor Castle is completed.
1528-12-09,"Perak Sultanate and Johor Sultanate were established, both states being ruled by the sons of Mahmud Shah of Malacca."
1528-12-09,Montenegro gains autonomy under Ottoman power.
1528-12-09,"In Henan province, China, during the mid Ming dynasty, a vast drought deprives the region of harvests for the next two years, killing off half the people in some communities, due to starvation and cannibalism."
1528-12-09,"A new, three-member executive junta is appointed by the King of Spain to govern New Spain and the West Indies, with Nuño Beltrán de Guzmán, Juan Ortiz de Matienzo, and Diego Delgadillo forming the first Audiencia Real. Beltran de Guzmán, Ortiz and Delgadillo succeed the two viceroys, Alonso de Estrada and Luis de la Torre. Beltran de Guzmán is designated as the President of the Audiencia."
1528-12-09,Bubonic plague breaks out in England.
1528-12-09,Chateau Fontainebleau in France is begun.
1528-12-09,Michelangelo Buonarroti begins work on the fortifications of Florence.
1528-12-09,Baldassare Castiglione publishes The Book of the Courtier.
1529-01-06,"Basarab VI is installed as the new Prince of Wallachia (now in Romania) in the capital at Târgoviște, days after the assassination of the Voivode Radu of Afumați by the other boyars (Wallachian nobles). Basarab's reign lasts only a month and he is removed on February 5."
1529-01-08,"Zhang Qijie becomes the most powerful woman in Ming dynasty China as the primary wife of the Jiajing Emperor, shortly after the death of the Empress Xiaojiesu."
1529-01-20,"In India, the Mughal Emperor Babur departs from the capital at Agra toward Ghazipur to fight the Rajputs and the rebel Afghans who had captured the city."
1529-01-28,"Peter Vannes, the Italian-born envoy for England's King Henry VIII, arrives in Rome on a mission to get Pope Clement VII to give a dispensation for King Henry to divorce one wife and marry another, with both marriages to be declared valid. The mission fails."
1529-02-02,"The Örebro Synod provides the theological foundation of the Swedish Reformation, following the economic foundation of it, after the Reduction of Gustav I of Sweden."
1529-03-09,"The Battle of Shimbra Kure is fought in Ethiopia as the Imam Ahmad ibn Ibrahim al-Ghazi, with 12,000 men, including special forces armed with matchlock firearms, defeats the 200,000 man army of the Emperor Dawit II."
1529-03-25,"A blood libel is carried out against the Jewish community of Bosen in Hungary (now Pezinok in Slovakia), on the first day of Passover, after a boy in the town disappears. Three Jews are accused and killed. The boy is later discovered alive, having been kidnapped for the benefit of the scheme."
1529-04-08,"The Flensburg Disputation is held, a debate attended by Stadtholder Christian of Schleswig-Holstein (later King Christian III of Denmark), between Lutherans (led by Hermann Fast) and the more radical Anabaptists (led by Melchior Hoffman). Johannes Bugenhagen, a close associate of Martin Luther, presides. The Disputation marks the rejection of radical ideas by the Danish Reformation."
1529-04-09,The Westrogothian rebellion breaks out in Sweden.
1529-04-19,"Diet of Speyer: A group of rulers (German: Fürst) and independent cities (German: Reichsstadt) protest the reinstatement of the Edict of Worms, beginning the Protestant movement."
1529-04-22,"The Treaty of Zaragoza divides the eastern hemisphere between the Spanish and Portuguese empires, stipulating that the dividing line should lie 297.5 leagues or 17° east of the Moluccas."
1529-05-10,"The Ottoman army under Suleiman I leaves Constantinople, to invade Hungary once again."
1529-05-31,"July – Cardinal Thomas Wolsey, Archbishop of York, opens a legatine court at Blackfriars, London, to rule on the legality of King Henry VIII of England 's marriage to Catherine of Aragon. The court lasts until July 16."
1529-06-21,Battle of Landriano: French forces in northern Italy are decisively defeated by Spain.
1529-06-21,"King Henry VIII and Queen consort Catherine of Aragon appear in person before the Blackfriars court, with Catherine making a pathetic display before the court and her husband, and the king making a speech about his uneasiness about his marriage."
1529-07-23,The Blackfriars court is adjourned after word is received that Pope Clement VII has revoked its charter.
1529-07-30,"The only continental outbreak of English sweating sickness reaches Lübeck, spreading from there into Schleswig-Holstein in the next few months."
1529-08-05,"Charles V, Holy Roman Emperor, and Francis I of France sign the Treaty of Cambrai, or Ladies' Peace in the War of the League of Cognac: Francis abandons his claims in Italy, but is allowed to retain the Duchy of Burgundy. Henry VIII of England accedes on August 27."
1529-09-01,"Sancti Spiritu, the first European settlement in Argentina, is destroyed by local natives."
1529-09-08,Buda is recaptured by the invading forces of the Ottoman Empire.
1529-09-08,"The city of Maracaibo, Venezuela is founded by Ambrosius Ehinger."
1529-09-27,Vienna is besieged by the Ottoman Turks commanded by Suleiman the Magnificent.
1529-10-15,"With the season growing late, Suleiman abandons the Siege of Vienna (a turning point in the Ottoman wars in Europe)."
1529-10-26,"Cardinal Wolsey falls from power in England, due to his failure to obtain an annulment of Henry VIII's marriage and to prevent Habsburg expansion in Europe. Thomas More succeeds him as Lord Chancellor."
1529-11-04,The English Reformation Parliament is first seated.
1529-12-17,"Fluorite is first described, by Georg Agricola."
1529-12-17,The first session of the Reformation Parliament ends.
1529-12-17,"Aylesbury is granted the county town of Buckinghamshire, England by King Henry VIII."
1529-12-17,Stephen Báthory becomes governor of Transylvania.
1529-12-17,Borommarachathirat IV succeeds Ramathibodi II as king of Ayutthaya.
1529-12-17,A summit level canal between Alster and the Trave in Germany opens to navigation.
1529-12-17,Giorgio Vasari visits Rome.
1529-12-17,Pietro Bembo becomes historiographer of Venice.
1529-12-17,"Heinrich Bullinger becomes pastor of Bremgarten, Switzerland."
1529-12-17,"German polymath Heinrich Cornelius Agrippa publishes Declamatio de nobilitate et praecellentia foeminei sexus (""Declamation on the Nobility and Preeminence of the Female Sex""), a book pronouncing the theological and moral superiority of women."
1530-01-05,"Strasbourg joins the Christliches Burgrecht, the Protestant alliance of Swiss cities."
1530-01-20,"Sent on a mission to penetrate the interior of Mexico and to conquer the Kingdom of Michoacán, the Spanish conquistador Hernán Cortés leads a group of soldiers across the Lerma river through Cuitzeo and proceeds northwest. The arrive at Tonalá on March 24 and then take possession of the regions south of the Santiago River and north and west of Lake Chapala."
1530-01-21,"Charles V, Holy Roman Emperor, issues letters from his winter residence in Bologna, inviting members of the Imperial Diet to convene at Augsburg on April 8 to discuss various theological questions."
1530-02-14,"Tangaxuan II, last cazonci of the Purépecha Empire, is executed by conquistador Nuño de Guzmán, ending the Purépecha Empire's independence from Spain."
1530-02-24,"Charles V is crowned emperor in Bologna, by Pope Clement VII."
1530-03-23,"The Tribute of the Maltese Falcon, an agreement by the Grand Master of the Order of St John of Jerusalem to pay an annual tribute to the Charles V, King of Sicily, in return for an order granting the Knights full rulership of Tripoli and the islands of Malta and Gozo, is reached. The transfer of ownership takes place on October 26, 1550, although Tripoli is conquered by the Ottomans on August 15, 1551."
1530-04-08,"At the invitation of the Holy Roman Emperor, the members of the Imperial Diet open their session at Augsburg in Germany to prepare the Augsburg Confession, an official imperial set of rules for Protestantism."
1530-05-09,"The Kaqchikel people, a tribe of the Maya people of what is now the Sacatepéquez Department of Guatemala, surrender to the Spanish conquistadors."
1530-06-25,"The Augsburg Confession is presented to Charles V, Holy Roman Emperor."
1530-07-04,"King François of France marries Eleanor of Austria, daughter of King Philip I of Castile and widow of King Manuel I of Portugal."
1530-07-09,"The Tetrapolitan Confession, a Protestant confession of faith, is submitted jointly to Holy Roman Emperor Charles V on behalf of the southern German cities of Konstanz, Lindau, Memmingen and Strasbourg."
1530-07-19,"Turkish Ottoman troops attempt to take the Hungarian town of Nagykörű but, according to local legend, the Turkish soldirers are lost in a marsh protecting the city."
1530-07-25,"The transfer of Tripoli, in North Africa, from Spain to the Knights of Malta, is formally accomplished, four months after an agreement was reached with Charles V, Holy Roman Emperor, King of Spain and King of Sicily."
1530-07-30,"At Neue Augsburg (now Coro in the nation of Venezuela), German explorer Nikolaus Federmann becomes the acting governor of Klein-Venedig (""Little Venice"") Germany's short-lived South American colonyas Governor Ambrosius Ehinger takes a leave of absence to recover from malaria."
1530-08-03,"Battle of Gavinana: Florence is captured by Spanish troops under Prince Philibert of Chalon (who is killed in the action). The Piagnon (followers of the memory of Girolamo Savonarola) are overthrown, ending the Siege of Florence, and the Medici are restored, in the person of the Pope's nephew Alessandro de' Medici."
1530-09-15,"The miraculous portrait of Saint Dominic in Soriano appears in Soriano Calabro, Calabria."
1530-10-08,A flood engulfs Rome.
1530-10-26,"The Knights of Malta are formed, when the Knights Hospitaller are given Malta by Charles V. They transfer the island capital from Mdina to Birgu."
1530-11-05,St. Felix's flood devastates Zeeland: a large part of the Verdronken Land van Reimerswaal is lost leading to decline of the city of Reimerswaal.
1530-11-24,"Tabinshwehti succeeds his father Mingyi Nyo as king of the Toungoo dynasty, following the latter's death."
1530-12-26,Humayun starts to rule the Mughal Empire after Babur 's death.
1530-12-26,Martim Afonso de Sousa 's expedition sets out for Brazil from Portugal.
1530-12-26,The ducal palace of Celle is constructed in Germany.
1530-12-26,"Austrian forces capture Esztergom, Hungary, and raid as far as Buda."
1530-12-26,"Erasmus publishes On Civility in Children (De Civilitate Morum Puerilium Libellus), which becomes popular and widely translated."
1530-12-26,"First complete edition of the ' Zürich Bible ', Huldrych Zwingli 's translation into German printed by Christoph Froschauer, is published."
1531-01-15,The third session of the Reformation Parliament of King Henry VIII of England is opened.
1531-01-26,"1531 Lisbon earthquake: More than 30,000 people are killed in Portugal in an earthquake and subsequent tsunami."
1531-02-27,Battle of Antukyah: Ahmad ibn Ibrahim al-Ghazi of the Adal Sultanate defeats the Ethiopian army.
1531-02-27,Lutheran princes in the Holy Roman Empire form an alliance known as the Schmalkaldic League.
1531-03-28,"In India, the fortress of Mandu, capital of the Malwa Sultanate, falls as Malwa's Sultan Mahmúd II and his sons surrender to Bahadur Shah of Gujarat."
1531-03-31,"King Henry VIII gives royal assent to numerous acts at the close of the session of the English Parliament, including the Poisoning Act 1530 (providing for boiling to death people convicted of poisioning other persons); the Vagabonds Act 1530 (permitting licensed begging by certified disabled and elderly people); the Egyptians Act 1530 to allow the expulsion of gypsies; and the Bridges Act 1530 for maintenance of bridges."
1531-04-12,"In the Songhai Empire that rules most of West Africa and the Niger River valley, the Emperor Askiya Musa is assassinated by his brothers after less than two years on the throne. Askia Mohammad Benkan is enthroned the same day."
1531-04-16,"The city of Puebla, Mexico, is founded."
1531-04-16,"Battle of Puná: Francisco Pizarro defeats the native inhabitants of the island of Puná, off of the coast of what is now the South American nation of Ecuador."
1531-05-18,"The third Dalecarlian rebellion in Sweden is settled on St. Eric's Day at Arboga in Denmark when King Christian II returns church bells, confiscated earlier to pay Denmark's debts, to the villages in rebellion."
1531-05-27,"(11th waxing of Nayon 893 ME) Minkhaung of Mrauk-U, the Burmese King of Arakan since 1521, is killed in a coup d'etat by the rebellious Governor of Thandwe, Min Pa."
1531-06-24,"The city of San Juan del Río, Mexico, is founded."
1531-07-25,"The city of Santiago de Querétaro, Mexico is founded."
1531-08-22,"Battle of Obertyn: The Moldavians are defeated by Polish forces under Jan Tarnowski, allowing the Poles to recapture Pokucie."
1531-08-26,Comet Halley achieves its perihelion.
1531-09-15,"The first Parliament of Ireland in more than nine years is opened at Kilkea Castle, near Castledermot, County Kildare, and continues until its adjournment on October 31."
1531-09-16,"(5th waxing of Thadingyut 893 ME) In Burma (now Myanmar), the formal coronation of General Min Pa as King Min Bin of Arakan takes place in the Arakan capital, Mrauk U."
1531-09-24,"At the age of 35, King Gustav I Vasa of Sweden is married for the first time, taking Catherine of Saxe-Lauenburg as his bride on her 18th birthday."
1531-10-11,"Battle of Kappel: The forces of Zürich are defeated by the Catholic cantons. Huldrych Zwingli, the Swiss religious reformer, is killed."
1531-10-28,"Battle of Amba Sel: Imam Ahmad ibn Ibrahim al-Ghazi again defeats the army of Dawit II, Emperor of Ethiopia. The southern part of Ethiopia thus falls under Imam Ahmad's control."
1531-11-05,Christian II `s invasion force arrives in Oslo.
1531-12-09,"The Virgin of Guadalupe first appears to Juan Diego at Tepeyac, Mexico City."
1531-12-12,Andrea Alciato publishes Emblemata.
1531-12-12,Conquistador Francisco de Montejo claims Chichen Itza as capital of Spanish-ruled Yucatán.
1531-12-12,The University of Sarajevo is founded by Gazi Husrev-beg based on Sufi philosophy.
1531-12-12,"In present-day Czech Republic, the Zástřizl family held Bohdalice and Pavlovice from 1413 until 1531."
1531-12-12,"Mary, mother of Jesus, in the guise of Our Lady of Guadalupe, appears imprinted on the tilmàtli of Juan Diego Cuauhtlatoatzin, an Aztec convert to Catholicism, in Tepeyac near Mexico City."
1531-12-12,Kõpu Lighthouse is completed.
1531-12-12,"A severe drought in Henan province, China, coupled with a gigantic swarm of locusts in the summer, forces many in destitute agricultural communities to turn to cannibalism to avoid dying by starvation."
1531-12-12,"Charles V, Holy Roman Emperor abolishes the worst abuses of the encomienda system, by pressure of Bartolomé de las Casas."
1531-12-12,"A witch-hunt is conducted in the town of Schiltach, Germany."
1532-01-22,São Vicente is established as the first permanent Portuguese settlement in Brazil.
1532-02-12,"The Deceived Ones (Gl'ingannati), a stage comedy written collectively by the Accademia degli Intronati in Siena, makes its debut as part of the festivities of the Italian city's annual carnival."
1532-02-24,"William Warham, the 81-year-old Roman Catholic Archbishop of Canterbury, publicly declares that he is disasocciating himself from all acts of the English Parliament that are prejudicial to papal authority."
1532-03-18,"The Supplication against the Ordinaries is presented to Henry VIII by Thomas More the Speaker of the House of Commons. Henry responds by stating that the Commons could hardly expect such consideration after they refused to assent to the government's proposals. Shortly afterwards, Parliament is prorogued until April 10."
1532-04-27,"The democratic government of the Republic of Florence in Italy, in existence for more than 400 years since its founding in 1115, is abolished by order of Pope Clement VII in order for a hereditary, and absolute, monarchy to be established. Alessandro de' Medici, Duke of Florence, the illegitimate son of Pope Clement, is given full power and the Republic's parliament (the Signoria) and the rule of the executive officer, the Gonfaloniere, come to an end."
1532-04-27,"Battle of Quipaipan in Peru: Atahualpa wins the civil war in the Inca Empire, defeating his brother Huáscar."
1532-05-13,Francisco Pizarro lands on the northern coast of Peru.
1532-05-16,Sir Thomas More resigns as Lord Chancellor of England.
